ID,Category,Test Case,Pre-conditions,Steps,Expected Result,Result,Notes
A1,Access,Christmas Town page loads without error,User is logged in; Christmas Town is active (December),1. Navigate to /christmas_town.php,Page loads with no 404 / 500 error; Christmas Town map is visible,,
A2,Access,Page shows graceful message when event is closed,User is logged in; Christmas Town is NOT active (off-season),1. Navigate to /christmas_town.php,"Event-ended or coming-soon message displayed; no PHP fatal error, no blank page",,
A3,Access,Casino-banned user cannot deposit,"User has a casino ban applied, Christmas Town is active",1. Navigate to the Pot mini-game area. 2. Attempt to deposit an eligible item.,"Ban message displayed; deposit blocked; no PHP error, no inventory change",,
A4,Access,Pot mini-game area is visible on the map,User is logged in; Christmas Town is active,1. Navigate to /christmas_town.php. 2. Explore the map to find the Pot trigger location.,Pot mini-game trigger is visible and interactable on the map,,
B1,Deposit — Inventory,Depositing 1 item reduces player inventory by exactly 1,"User has at least 1 eligible item (Candy / Alcohol / Energy Drink); Christmas Town active; it is that item category's round","1. Note the current count of the eligible item in your inventory. 2. Open the Pot mini-game. 3. Select that item and confirm deposit. 4. Check inventory again.",Item count in inventory is exactly 1 less than before deposit,,
B2,Deposit — Inventory,Depositing the last copy of an item removes it completely from inventory,"User has exactly 1 copy of the eligible item; Christmas Town active","1. Confirm you have exactly 1 of the target item. 2. Deposit it into the pot. 3. Check inventory.",The item no longer appears in inventory at all,,
B3,Deposit — Inventory,Pot user (ID 4545) does NOT gain the deposited item,Access to admin / armoury lookup for user ID 4545; Christmas Town active,"1. Before deposit: check armoury of user 4545 for the item count. 2. Deposit an eligible item. 3. Check armoury of user 4545 again.","Item count for user 4545 is unchanged — the item is removed (destroyed at deposit), NOT transferred to pot user",,
B4,Deposit — UI counters,yourItemsInPot counter increments after deposit,User is in the Pot mini-game; at least 1 eligible item available,"1. Note the ""Your items in pot"" counter on the UI. 2. Deposit one item. 3. Observe counter.","Counter increases by 1 (e.g. 0 → 1, or 1 → 2)",,
B5,Deposit — UI counters,itemsRemaining counter decrements after deposit,User is in the Pot mini-game; at least 1 eligible item available,"1. Note the ""Items remaining"" counter (max 3). 2. Deposit one item. 3. Observe counter.",Counter decreases by 1 (e.g. 3 → 2),,
B6,Deposit — UI message,Correct confirmation message shown after deposit,User is in the Pot mini-game; eligible item available,"1. Deposit an eligible item. 2. Read the response message.","Message contains ""You add your [item name]""",,
B7,Deposit — UI board,Deposited item appears on the pot game board,User is in the Pot mini-game; eligible item available,"1. Deposit an eligible item. 2. Look at the pot game board.",The item icon / entry appears on the board display,,
B8,Deposit — Activity log,Activity log records the deposit (log ID 8936),User is in the Pot mini-game; eligible item available,"1. Deposit an eligible item. 2. Check the player's activity log.",An entry appears recording the deposit of the specific item ID,,
C1,Deposit — Validation,Depositing a non-owned item is rejected,User is in the Pot mini-game,"1. Attempt to submit a deposit request with an itemID that you do not own (e.g. using a direct POST with an invalid ID). 2. Check inventory.",Error message: ""You do not own this item or this item has wrong type""; inventory unchanged,,
C2,Deposit — Validation,Depositing an item of the wrong category is rejected,"User has both Candy and Alcohol items; current round requires Candy","1. Open the Pot mini-game when the required category is Candy. 2. Attempt to deposit an Alcohol item instead. 3. Check inventory.","Deposit rejected with category/type mismatch error; inventory unchanged for both items",,
C3,Deposit — Validation,Player cannot deposit more than 3 items in one game,"User has 3 items already in the pot (yourItemsInPot = 3), has a 4th eligible item","1. Confirm yourItemsInPot = 3. 2. Attempt to deposit a 4th item. 3. Check inventory.",Deposit rejected: ""You can not push item in pot""; inventory unchanged; pot count stays at 3,,
C4,Deposit — Validation,Item category rotates correctly between rounds,User plays across multiple completed games,"1. Complete a Candy round (game finishes). 2. Start depositing in the next round. 3. Note which category is required. 4. Repeat for a third round.",Category cycles: Candy → Alcohol → Energy Drink → Candy (rotating),,
C5,Deposit — Validation,Game-closed state prevents new deposits,Current game timestamp is in the future (cooldown period),"1. Wait for or observe the ""next game"" timer. 2. Attempt to deposit while countdown is active.",Response: gameAvailable = false; nextGame > 0; no deposit accepted,,
D1,Win — Reward delivery,Winner receives all deposited items when the game ends,Multiple players have deposited items (or simulate with one player filling all 3 slots),"1. Record all items currently in the pot (categories and quantities). 2. Make the winning deposit (the one that triggers the win chance). 3. Check the winner's inventory.","Winner's inventory increases by the total count of all pot items (from all depositors combined)",,
D2,Win — Reward delivery,Multiple copies of the same item_id are summed correctly,"At least 2 deposits of the same item_id are in the pot (e.g. 2× Candy A from different players or two deposits by the same player in two separate games that land in the same pot)","1. Ensure the pot contains 2× item_id 847 and 1× item_id 923 (example). 2. Trigger the win. 3. Check winner's inventory.","Winner receives 2 of item 847 and 1 of item 923 — array_count_values groups correctly",,
D3,Win — Reward delivery,Winner receives FRESH armoury_inventory entries (not original rows),"Access to armoury_inventory table; game is about to end","1. Note the armoury_inventory IDs of items deposited into the pot. 2. Trigger the win. 3. Check the winner's newly received items.","The winner's items have NEW armoury_inventory row IDs — they are not the same rows that were deposited (fresh creation, not transfer)",,
D4,Win — Depositor state,All depositors have already lost their items (removed at deposit time),Multiple players have deposited items,"1. Player A deposits item — verify item removed from A immediately. 2. Game finishes; Player B is the winner. 3. Check Player A's inventory after the win.",Player A's inventory does not change further after the win — the item was already removed at step 1,,
D5,Win — Depositor state,Winner who was also a depositor gets correct net result,"Player deposits 1 item into a pot and also wins the pot (e.g. solo test or specific timing)","1. Player deposits 1 Candy (inventory: Candy -1). 2. Player's deposit triggers the win. 3. Check inventory.","Deposited item is gone (removed at deposit time); all pot items (including the one just deposited) are re-created fresh and added to the player. Net: inventory = original - 1 + all pot items",,
D6,Win — UI,""Congratulations" message shown to winner when game ends",Game is triggerable via deposit,"1. Make the winning deposit. 2. Read the response message.","Message contains ""Congratulations, you won N item(s)""",,
D7,Win — UI,Pot board resets and new countdown timer shown after win,Game ends due to a winning deposit,"1. Observe the pot board before the win. 2. Trigger the win. 3. Observe the pot board after.","Board clears; new game timer/countdown (nextGame) is visible and > 0",,
D8,Win — Activity log,Activity log records reward for the winner (log ID 8938),Game ends; winner is logged in,"1. Win the pot mini-game. 2. Check the winner's activity log.",An entry appears with the reward details including gameType 'Pot' and the item quantities received,,
E1,Transaction — Integrity,Inventory and MongoDB are consistent: no orphaned pot entries,Ability to inspect MongoDB game progress and armoury_inventory,"1. Deposit an item (removes from inventory + pushes to MongoDB). 2. Inspect MongoDB game document. 3. Inspect armoury_inventory for that item.","Item removed from armoury_inventory AND recorded in MongoDB game document — both changes either both committed or both rolled back",,
E2,Transaction — Integrity,Partial reward failure leaves no items lost or duplicated,Ability to simulate a mid-reward failure (dev environment),"1. Set up a full pot (3 deposits across multiple item types). 2. Inject a failure during addSeveralItemsToArmoury (e.g. after first item type is added). 3. Observe the outcome.","If transaction rolls back: winner receives 0 items; all quantities accounted for. If it commits: all item types granted.",,
E3,Transaction — Integrity,Redis lock prevents concurrent double-spend on the same item,Two sessions belonging to the same user (or two users with the same eligible item),"1. Open two browser tabs both on the Pot mini-game. 2. Send a deposit request simultaneously from both tabs for the same item. 3. Check inventory.","Exactly 1 deposit succeeds; inventory decremented by exactly 1; the second request is rejected with a lock/concurrency message",,
F1,Removed methods — No regression,itemsArmouryClass no longer exposes transferSeveralItemToNewUser,Dev / code review,"1. Search the codebase for any call to transferSeveralItemToNewUser. 2. Confirm none exist outside of removed code.","No remaining callers; method removed cleanly. Any call attempt would result in ""method not found"" — verify no other feature accidentally used this method.",,
F2,Removed methods — No regression,Trades / bazaar / item market still work normally after removal of transferSeveralItemToNewUser,"Trading is possible (user has tradeable items, a trade partner available)","1. Initiate a trade and add items. 2. Complete the trade. 3. Check both players' inventories.",Items transferred correctly in trade; no errors in server log referencing removed methods,,
F3,Removed methods — No regression,Faction armoury donations still work after the removal,User is in a faction with donate permission,"1. Go to Faction Controls → Armoury. 2. Donate an item to the faction armoury. 3. Check faction armoury and player inventory.",Item moved to faction armoury; player inventory decremented; no errors,,
F4,Removed methods — No regression,getArmouryIDsForUpdate is no longer called during any pot game flow,Dev / server log monitoring,"1. Play through a full pot mini-game (deposit + win). 2. Check server logs for any reference to getArmouryIDsForUpdate.",No log entries or errors mentioning getArmouryIDsForUpdate,,
G1,Log format — audit,MongoDB game log dbItems field has new format after a win,Access to MongoDB logs; game is winnable,"1. Trigger a win. 2. Inspect the MongoDB log document for the game reward entry. 3. Look at the dbItems field.","dbItems contains {item_id: qty} map (e.g. {847: 3, 923: 1}) — NOT an array of armoury row objects",,
G2,Log format — audit,composedReward in the log still contains correct armouryID values,Access to MongoDB logs; game is winnable,"1. Trigger a win. 2. Inspect the MongoDB log document's reward.composedReward array. 3. Check each entry's armouryID field.","Each entry has a valid armouryID populated from the $items array; no null/missing armouryID values",,
G3,Log format — audit,handlePotMiniGameReward activity log (8938) counts items correctly,Access to activity log; game is winnable,"1. Win a pot game containing 3× item A and 2× item B. 2. Check activity log entry 8938 for the winner.",Log entry shows {itemA_id: 3; itemB_id: 2} — counts match exactly what was in the pot,,
H1,Edge case,Empty pot (0 items) game state does not crash,Christmas Town active; pot is currently empty (just after a win / new game),"1. Open the Pot mini-game immediately after a game ends (pot is empty). 2. Check the state response.",Game state returns cleanly: yourItemsInPot = 0; itemsRemaining = 3; no PHP error,,
H2,Edge case,Single depositor wins all items they put in,"Only one player has deposited into the pot; that player's deposit triggers the win chance","1. Player deposits 3 items (filling the pot). 2. The winning deposit triggers a win. 3. Check player's inventory.","Player's 3 deposited items are gone (removed at deposit). 3 fresh items are created and awarded back to the same player.",,
H3,Edge case,Energy Drink round works the same as Candy and Alcohol rounds,Current round requires Energy Drink items,"1. Confirm current category is ""Energy Drink"". 2. Attempt to deposit an Alcohol item (wrong type). 3. Deposit a valid Energy Drink item instead.",Step 2 rejected; Step 3 succeeds with correct inventory change and confirmation message,,
H4,Edge case,Game board shows correct item count across all depositors,Multiple players have deposited different quantities,"1. Player A deposits 2 items; Player B deposits 1 item. 2. View the pot board.",Board shows all 3 items from both players; count totals correctly,,
